Indicator Name,Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
GDP per capita (current US$),Afghanistan,AFG,55.60699555,55.66865139,54.35964453,73.19877188,76.37302661,94.09873228,128.1145064,149.8911664,120.3514784,120.6551451,146.1680181,149.1969285,126.6948551,134.2056753,163.0041769,175.2366743,184.5522254,208.0139376,226.6939625,247.7604118,237.9715241,222.1750694,,,,,,,,,,,,,,,,,,,,92.20611552,157.9765025,168.6783221,196.2321413,227.8803625,251.1061653,306.9784168,367.1942446,425.0711956,501.4709467,575.9684237
GDP per capita (current US$),Albania,ALB,,,,,,,,,,,,,,,,,,,,,,,,,665.5966081,664.5672639,716.6067885,692.1112539,665.4451189,717.2070388,638.8921785,346.0729743,217.1583301,380.8089109,624.5350681,771.8625351,968.0719517,710.3147881,885.9086309,1117.705767,1200.137437,1329.385031,1440.030143,1819.397838,2388.729275,2666.14162,2893.157853,3377.221517,4076.402136,3795.688861,3700.738411,4029.73018
GDP per capita (current US$),Algeria,DZA,252.1887386,221.2088524,178.5449164,236.6728565,249.6236661,263.0448594,248.5605729,268.1118214,297.5673725,319.1603216,353.8063512,358.4118392,463.1151569,578.9856049,850.914532,971.2663926,1072.279806,1228.711072,1495.878393,1826.013006,2251.067371,2281.025916,2249.596065,2350.427196,2505.393783,2621.82489,2799.405331,2852.420226,2458.434902,2255.199561,2452.454722,1762.991935,1807.491275,1838.300883,1533.005721,1476.200262,1630.657337,1647.505339,1623.922526,1616.020378,1794.405233,1781.053814,1814.55743,2131.345262,2624.207271,3111.703447,3508.908779,4005.224242,4966.571702,3951.910901,4566.891032,5244.026879
GDP per capita (current US$),American Samoa,ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GDP per capita (current US$),Andorra,ADO,,,,,,,,,,,3226.792412,3484.824583,4200.997588,5319.381426,6283.924953,7107.981102,7068.172843,7632.382858,8945.759305,11510.87312,11958.24836,9916.458826,9082.260037,7513.290609,7222.288411,7313.091107,9906.814233,12348.5011,14360.73787,15524.4706,19498.40713,20126.75364,20946.08694,16599.48733,16123.09453,18218.91006,18765.59507,18190.37111,18864.27098,19377.04565,17539.442,19050.46312,21091.1866,26563.27958,30842.10145,32607.838,35349.47358,39874.8198,44952.39917,,,
GDP per capita (current US$),Angola,AGO,,,,,,,,,,,,,,,,,,,,,,,,,,750.5632924,681.7715303,772.0672546,813.8259685,923.4511519,992.7568203,1144.574971,525.2605258,464.8009366,345.7030549,416.3148338,604.4015752,600.0055025,490.566464,455.4968822,655.5318,621.0641974,767.7215947,905.0791108,1239.24603,1712.273442,2456.706689,3449.228964,4666.714912,4068.548534,4321.940845,5147.710674
GDP per capita (current US$),Antigua and Barbuda,ATG,,,,,,,,,,,,,,,,,,940.8748564,1061.28414,1307.915478,1567.276083,1787.259364,2005.026748,2260.891751,2601.326937,3076.522774,3810.041865,4510.692316,5404.526805,6004.047193,6295.141048,6539.645272,6641.844385,6998.022978,7475.72883,7199.457887,7680.256669,8017.640963,8357.420329,8578.691062,10334.38112,10029.39584,10225.23891,10605.19138,11151.75167,12193.34198,13685.12975,15078.81645,15591.40257,13829.82608,13006.30092,12595.50749
GDP per capita (current US$),Arab World,ARB,,,,,,,,,280.386304,300.6348726,318.9870827,359.547968,424.5212341,522.8266531,964.8522986,1046.244655,1250.921249,1406.148423,1504.515273,1942.2945,2495.536077,2492.901725,2250.986758,2059.912482,2023.313341,1940.571105,1774.638551,1841.810524,1728.967157,1779.695932,1933.943841,1852.909111,1951.121261,1926.10407,1922.667765,2005.123893,2168.63333,2258.29667,2151.145302,2300.185281,2595.634726,2473.80135,2454.419345,2704.219035,3083.216637,3663.109779,4261.516611,4819.266121,5964.761625,5021.782964,5716.036796,6768.467295
GDP per capita (current US$),Argentina,ARG,,,1148.060334,844.6363075,1165.651106,1271.255275,1265.60249,1057.168443,1135.938174,1323.467118,1316.921941,1365.812694,1400.977104,2083.242231,2823.588622,2010.782193,1931.455419,2110.88243,2127.343809,2499.018792,2735.836419,2754.640839,2907.048461,3530.94275,2645.240195,2912.827628,3600.483606,3553.146963,3977.632453,2380.976361,4330.324573,5732.833843,6821.086043,6967.021353,7479.294721,7402.975001,7712.440458,8199.901173,8273.179024,7759.032261,7695.594073,7203.256653,2709.706375,3410.337808,3993.906484,4735.983684,5485.523115,6623.863698,8225.669082,7665.073444,9123.714017,10940.59548
GDP per capita (current US$),Armenia,ARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,636.68069,588.9796367,368.8694649,356.4333077,399.678676,455.5502761,503.4286819,522.9914498,609.0913217,597.1228404,621.4248263,690.9977831,776.3093877,917.1741484,1167.831655,1598.339949,2079.73361,2994.70899,3787.492151,2803.265534,3030.710627,3305.486704
GDP per capita (current US$),Aruba,ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13490.71845,14038.88408,14926.21612,16229.51661,16441.99568,16611.35164,17987.61968,19180.24495,19480.6208,20589.77183,20558.91166,20203.53069,,,,,,,,,
GDP per capita (current US$),Australia,AUS,1828.274239,1895.564837,1870.816922,1984.708387,2149.831437,2301.65278,2364.662052,2601.912569,2748.433318,3017.726796,3334.049608,3526.74422,3985.278796,4814.283895,6540.289659,7063.50527,7553.911051,7836.761299,8318.746305,9368.87003,10292.98343,11960.05941,12894.75887,11629.37518,12550.45187,11557.5552,11452.18743,11708.11024,14425.18624,17982.28728,18404.54575,19054.93059,18780.81337,17832.43741,18250.40312,20522.51181,22042.44006,23634.05883,21442.68802,20623.26054,21766.17351,19597.37353,20209.62079,23543.66335,30580.24298,34149.48708,36226.15487,40671.8048,49379.41709,42101.40531,50745.88439,60642.24139
GDP per capita (current US$),Austria,AUT,935.4604268,1031.815004,1087.834243,1167.000532,1269.412583,1374.53214,1486.968606,1569.667183,1677.673528,1825.386125,2043.803943,2363.671172,2902.794036,3862.440898,4597.096361,5247.19969,5637.110598,6757.665129,8139.679995,9723.587914,10791.20304,9314.693671,9332.07585,9454.855723,8914.108445,9092.031872,12973.09082,16249.53096,17398.01096,17289.46502,21458.23272,22180.65535,24624.53784,23834.107,25383.19881,30014.27275,29485.60821,26082.45851,26743.79194,26563.20954,23974.18307,23833.83424,25679.0944,31268.6307,35662.21182,37067.32383,39299.6143,45181.46759,49679.41977,45638.08899,44885.06082,49707.08818
GDP per capita (current US$),Azerbaijan,AZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1237.324492,1209.237493,676.1515115,530.0903798,436.1905586,397.1981161,409.2167452,505.5605732,561.9103017,573.8902562,655.0974326,703.6712504,763.1012122,883.614009,1045.026415,1578.36733,2472.997476,3851.325664,5574.603802,4950.294791,5843.169753,6915.755971
