Indicator Name,Indicator Code,Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Afghanistan,AFG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.31837584,9.438757536,14.51571611,11.18704254,11.13201429,3.4,20.4,8.2,
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Albania,ALB,,,,,,,,,,,,,,,,,,,,,,5.745635295,2.948596777,1.104938293,-1.25159665,1.780643954,5.637243184,-0.787842637,-1.420039678,9.836548994,-9.575640199,-29.58899767,-7.2,9.6,8.3,13.3,9.100000399,-10.20000033,12.7,10.1,7.3,7,2.9,5.7,5.9,5.5,5,5.9,7.7,3.3,3.5,3
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Algeria,DZA,,-13.60544139,-19.68504177,34.31372885,5.839412935,6.206898306,-4.804970931,9.452962438,10.79623857,8.433280316,8.862657085,-11.33171908,27.4239694,3.813176251,7.49491779,5.045341579,8.386756509,5.258585928,9.214835735,7.477826532,0.790606981,2.999996068,6.40000415,5.400003018,5.599996509,3.699997272,0.400000988,-0.699997507,-1.000005517,4.400002164,0.800000619,-1.200000614,1.800002315,-2.100000755,-0.899996563,3.79999481,4.099998477,1.099999927,5.100003607,3.200001534,2.200000704,2.599995168,4.700004652,6.900001663,5.199997104,5.099999286,2,3,2.4,2.4,3.3,2.5
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,American Samoa,ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Andorra,ADO,,,,,,,,,,,,4.649473525,8.149745709,7.788465414,5.618785784,0.542203245,3.303791457,2.838574307,1.463003413,0.041546518,2.208728144,-0.132468704,1.246461733,1.770115807,1.784687569,2.321435854,3.253321681,5.547122593,5.094324232,4.827030278,3.781393478,2.546000641,0.929215383,-1.031491714,2.383195277,2.757493977,4.649741959,9.067673964,3.194787965,4.099081148,1.165787064,11.77027275,5.874302308,6.754385451,6.484810116,5.9178627,6.789935147,1.4280715,3.570737186,,,
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Angola,AGO,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,7.9,5.6,0.4,-0.3,-1.2,-6.9,-24.7,3.5,10.4,11.2,7.9,6.804762114,3.239799671,3.012076175,3.141966223,14.49054878,3.308277922,11.18280776,18.26154849,20.7350198,22.59310611,13.81709896,2.412911615,3.407643628,3.4
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Antigua and Barbuda,ATG,,,,,,,,,,,,,,,,,,,4.184117769,7.343569495,8.595065955,4.083722931,0.16730111,4.678388681,9.753620268,7.990312429,12.71942295,8.263173738,5.421802293,5.772882431,2.545101843,2.03643903,0.848183727,5.390102213,6.327624895,-4.176822709,6.739561478,4.885845391,4.40767125,4.121605395,1.480623125,2.211641092,2.523173733,5.070968425,7.033822021,4.187961302,13.2769988,-9.572903743,1.47147429,-10.34568236,-8.881994751,-4.171075119
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Arab World,ARB,,,,,,,,,,,,,,,,,12.90654984,8.788352133,1.465555149,9.72844179,9.06808987,4.251376657,-3.518686879,-2.03794483,1.786036029,0.246635117,0.382206589,-0.279140923,4.589389683,1.799600461,7.737416239,5.444662555,4.228099821,2.83505849,3.617284964,2.846149964,4.59739297,3.671272696,4.323455469,2.468241479,4.791657377,1.874273714,1.881100476,5.507811239,7.075816535,5.438518548,6.024448711,4.659429623,5.536891986,1.96388622,4.428208126,5.053144284
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Argentina,ARG,,5.427842872,-0.852021492,-5.308196829,10.13029763,10.56943335,-0.659726175,3.191996625,4.822500792,9.679525991,3.045643341,5.658131081,1.628416499,2.81175404,5.533804401,-0.028412088,-2.018251533,6.934147763,-4.506124798,10.22276345,4.15176235,-5.689528,-4.957178519,3.875123433,2.211773504,-7.58667719,7.875779831,2.909993136,-2.556904885,-7.496189573,-2.398959224,12.6697101,11.94077473,5.906919494,5.836200697,-2.845209611,5.526689828,8.111046758,3.850178869,-3.385457053,-0.788998922,-4.408839698,-10.89448482,8.837040783,9.029573322,9.178950217,8.466062712,8.653336846,6.75843942,0.850241476,9.160916925,8.869529105
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Armenia,ARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.69999848,-41.80000275,-8.799998792,5.40000279,6.899998407,5.865400748,3.321079696,7.3,3.3,5.9,9.556641496,13.18630053,14.04079506,10.46784186,13.86571125,13.19800351,13.74920196,6.9,-14.14998864,2.096365892,4.6
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Aruba,ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.9979129,9.000611899,12.0027693,4.000446991,3.997624514,3.999586724,6.00060016,11.24182224,1.226731641,7.781030881,6.688119107,1.166555089,3.682011554,-0.692928686,-2.578237954,1.568545552,,,,,,,,
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Australia,AUS,,2.507532139,1.366729469,6.259566689,6.977787473,5.999038184,2.370806989,6.271228506,5.142824734,7.047053336,7.15848258,4.019230344,3.931209812,2.623936544,4.065772414,1.244887838,2.633328837,3.483656167,0.908381979,4.113518085,3.04394022,3.407837326,3.22786095,-2.320034859,4.598488422,5.130585749,4.551541173,2.553458148,5.872219748,3.939817999,3.57475914,-0.239267129,0.454063604,4.085981791,3.966137304,3.939983314,4.181423944,3.972448021,4.585530281,5.15985438,3.951352155,2.071616393,3.903791221,3.272264035,4.155794748,2.959140943,3.081394099,3.564177973,3.832065489,1.448372288,2.256937114,1.847891546
